도시명,옷차림명,시작월,종료월,옷차림 의견
코타키나발루,"반팔,반바지",1,12,키나발루산 트레킹시 등산화 필수
타이베이,"반팔,얇은 긴팔",3,5,
타이베이,"반팔,얇은 긴팔",10,11,
타이베이,"스웨터,가벼운 외투",12,2,
타이베이,"반팔,반바지",6,9,
뭄바이,"반팔,반바지",1,12,노출이 심한 옷 자제
울란바토르,"반팔,얇은 긴팔",7,8,말을 탈 경우를 대비 두툼한 바지필요
울란바토르,"스웨터,두꺼운 외투",11,4,가끔 맹추위(-45℃). 방한제품 필수
울란바토르,"긴팔,따뜻한 외투",5,6,말을 탈 경우를 대비 두툼한 바지필요
울란바토르,"긴팔,따뜻한 외투",9,10,말을 탈 경우를 대비 두툼한 바지필요
비엔티안,"반팔,반바지",1,12,"사원 방문시 민소매, 반바지 불가"
말레,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
카트만두,"스웨터,바람막이 재킷",11,3,히말라야 트레킹시 아웃도어 제품필수
카트만두,"반팔,바람막이 재킷",4,10,히말라야 트레킹시 아웃도어 제품필수
알마티,"반팔,얇은 긴팔",6,8,
알마티,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
알마티,"긴팔,따뜻한 외투",4,5,
알마티,"긴팔,바람막이 재킷",9,10,
타슈켄트,"긴팔,카디건",4,5,종교시설 관광시 단정한 옷차림 필요
타슈켄트,"반팔,얇은 긴팔",6,9,종교시설 관광시 단정한 옷차림 필요
타슈켄트,"스웨터,두꺼운 외투",12,3,종교시설 관광시 단정한 옷차림 필요
타슈켄트,"긴팔,스웨터",10,11,종교시설 관광시 단정한 옷차림 필요
뉴욕,"반팔,얇은 긴팔",6,9,"야외활동시 선글라스, 캡모자 필수"
뉴욕,"스웨터,두꺼운 외투",12,2,보온을 위한 따뜻한 옷 필수
뉴욕,"스웨터,가벼운 코트",3,5,쌀쌀함. 보온 기능의 옷 필요
뉴욕,"스웨터,가벼운 외투",10,11,쌀쌀함. 보온 기능의 옷 필요
로스앤젤레스,"긴팔,카디건",1,4,
로스앤젤레스,"긴팔,카디건",11,12,
로스앤젤레스,"반팔,반바지",5,10,
하와이,"반팔,반바지",4,11,"고급 레스토랑에서 긴바지, 구두 필수"
하와이,"반팔,반바지",12,3,"고급 레스토랑에서 긴바지, 구두 필수"
밴쿠버,"스웨터,두꺼운 외투",11,2,"강수량이 많으니 우산, 장화 준비"
밴쿠버,"스웨터,따뜻한외투",3,5,
밴쿠버,"스웨터,따뜻한외투",9,10,
밴쿠버,"반팔,반바지",6,8,
멕시코시티,"긴팔,카디건",2,3,"화려한 옷 지양, 스웨터 및 외투 필요"
멕시코시티,"스웨터,바람막이 재킷",12,1,"화려한 옷 지양, 스웨터 및 외투 필요"
멕시코시티,"반팔,반바지",4,9,"화려한 옷 지양, 스웨터 및 외투 필요"
멕시코시티,"긴팔,바람막이 재킷",10,11,"화려한 옷 지양, 스웨터 및 외투 필요"
상파울루,"반팔,반바지",10,4,"아마존 여행시 긴팔, 긴바지, 비옷 준비"
상파울루,"긴팔,바람막이 재킷",5,9,"아마존 여행시 긴팔, 긴바지, 비옷 준비"
산티아고,"반팔,얇은 긴팔",12,3,"강한햇빛 대비 선글라스, 얇은 긴팔"
산티아고,"스웨터,따뜻한외투",6,8,
산티아고,"긴팔,바람막이 재킷",9,10,"강한햇빛 대비 선글라스, 얇은 긴팔"
산티아고,"긴팔,바람막이 재킷",4,5,"강한햇빛 대비 선글라스, 얇은 긴팔"
부에노스아이레스,"긴팔,카디건",3,5,
부에노스아이레스,"긴팔,카디건",9,11,
부에노스아이레스,"스웨터,가벼운 외투",6,8,
부에노스아이레스,"반팔,반바지",12,2,
시드니,"긴팔,카디건",4,6,
시드니,"긴팔,카디건",10,12,
시드니,"스웨터,따뜻한외투",7,9,
시드니,"반팔,반바지",1,3,
멜버른,"긴팔,카디건",4,6,
멜버른,"긴팔,카디건",7,9,
멜버른,"긴팔,카디건",10,12,
멜버른,"반팔,반바지",1,3,
브리즈번,"긴팔,카디건",10,12,
브리즈번,"긴팔,스웨터",4,6,
브리즈번,"스웨터,따뜻한외투",7,9,
브리즈번,"반팔,반바지",1,3,
괌,"반팔,반바지",1,12,"고급 레스토랑에서 긴바지, 구두 필수"
사이판,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
오클랜드,"스웨터,따뜻한외투",5,9,여름에도 겉옷은 필수
오클랜드,"반팔,바람막이 재킷",10,4,여름에도 겉옷은 필수
코로르,"반팔,반바지",1,12,
난디,"반팔,반바지",12,4,
난디,"반팔,반바지",5,11,"서늘한 저녁, 얇은 긴팔 필수"
카이로,"반팔,얇은 긴팔",3,9,"노출자제, 모랫바람 대비용 헐렁한 옷"
카이로,"긴팔,바람막이 재킷",10,2,"노출자제, 모랫바람 대비용 헐렁한 옷"
텔아비브,"긴팔,스웨터",11,4,
텔아비브,"반팔,반바지",5,10,
아부다비,"반팔,반바지",1,12,"긴팔옷 필요, 노출 심한옷 금지"
두바이,"반팔,얇은 긴팔",1,12,"긴팔옷 필요, 노출 심한옷 금지"
케이프타운,"스웨터,바람막이 재킷",7,8,
케이프타운,"반팔,반바지",4,6,
케이프타운,"반팔,반바지",12,3,
케이프타운,"긴팔,바람막이 재킷",9,11,
라바트,"긴팔,카디건",11,4,
라바트,"반팔,반바지",5,10,심한 일교차로 긴팔옷 필요
나이로비,"반팔,얇은 긴팔",4,5,"모기 등 벌레 대비 긴팔, 긴바지 필요"
나이로비,"반팔,얇은 긴팔",6,9,
나이로비,"반팔,반바지",12,3,"모기 등 벌레 대비 긴팔, 긴바지 필요"
나이로비,"긴팔,바람막이 재킷",9,11,
암만,"반팔,얇은 긴팔",6,9,"건조기후. 긴팔, 긴바지 필요"
암만,"긴팔,스웨터",3,5,
암만,"긴팔,스웨터",10,11,
암만,"스웨터,따뜻한외투",12,2,
프랑크푸르트,"긴팔,카디건",6,8,
프랑크푸르트,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
프랑크푸르트,"스웨터,따뜻한외투",4,5,
프랑크푸르트,"스웨터,따뜻한외투",9,10,
이스탄불,"스웨터,두꺼운 외투",12,3,"미니스커트, 반바지, 민소매 노출주의"
이스탄불,"스웨터,따뜻한외투",4,5,"미니스커트, 반바지, 민소매 노출주의"
이스탄불,"스웨터,따뜻한외투",10,11,"미니스커트, 반바지, 민소매 노출주의"
이스탄불,"반팔,반바지",6,9,"미니스커트, 반바지, 민소매 노출주의"
런던,"반팔,얇은 긴팔",7,8,
런던,"스웨터,두꺼운 외투",11,2,
런던,"스웨터,따뜻한외투",3,6,
런던,"스웨터,따뜻한외투",9,10,
모스크바,"긴팔,가벼운 자켓",6,8,"여행시 운동복 지양, 공연 관람시 정장"
모스크바,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
모스크바,"스웨터,따뜻한외투",4,5,"여행시 운동복 지양, 공연 관람시 정장"
모스크바,"스웨터,따뜻한외투",9,10,"여행시 운동복 지양, 공연 관람시 정장"
상트 페테르부르크,"스웨터,두꺼운 외투",11,4,"방한의류, 용품으로 추위에 대비"
상트 페테르부르크,"스웨터,따뜻한외투",5,5,공연 관람시 정장
상트 페테르부르크,"스웨터,따뜻한외투",9,10,공연 관람시 정장
상트 페테르부르크,"스웨터,가벼운 외투",6,8,공연 관람시 정장
프라하,"스웨터,두꺼운 외투",11,2,
프라하,"긴팔,스웨터",5,6,
프라하,"스웨터,따뜻한외투",3,4,
프라하,"스웨터,따뜻한외투",9,10,
프라하,"반팔,카디건",7,8,
빈,"긴팔,가벼운 자켓",5,5,
빈,"스웨터,두꺼운 외투",11,2,"방한의류, 용품으로 추위에 대비"
빈,"스웨터,따뜻한외투",3,4,
빈,"스웨터,따뜻한외투",9,10,
빈,"반팔,반바지",6,8,
취리히,"스웨터,두꺼운 외투",11,2,"기온 및 날씨변화 큼, 다양한 옷 준비"
취리히,"스웨터,따뜻한외투",9,10,"기온 및 날씨변화 큼, 다양한 옷 준비"
취리히,"스웨터,따뜻한외투",3,5,"기온 및 날씨변화 큼, 다양한 옷 준비"
취리히,"반팔,카디건",6,8,"기온 및 날씨변화 큼, 다양한 옷 준비"
제네바,"반팔,얇은 긴팔",6,8,
제네바,"스웨터,두꺼운 외투",11,2,"방한의류, 용품으로 추위에 대비"
제네바,"스웨터,따뜻한외투",3,5,
제네바,"스웨터,따뜻한외투",9,10,
로마,"긴팔,스웨터",9,10,튀는복장 삼가. 성당에서 단정한 복장
로마,"긴팔,스웨터",4,5,튀는복장 삼가. 성당에서 단정한 복장
로마,"스웨터,따뜻한외투",11,3,튀는복장 삼가. 성당에서 단정한 복장
로마,"반팔,반바지",6,8,튀는복장 삼가. 성당에서 단정한 복장
밀라노,"긴팔,스웨터",4,5,"기온 및 날씨변화 큼, 튀는복장 삼가"
밀라노,"긴팔,스웨터",9,10,"기온 및 날씨변화 큼, 튀는복장 삼가"
밀라노,"스웨터,따뜻한외투",11,3,"기온 및 날씨변화 큼, 튀는복장 삼가"
밀라노,"반팔,반바지",6,8,"기온 및 날씨변화 큼, 튀는복장 삼가"
베네치아,"긴팔,스웨터",4,5,
베네치아,"긴팔,스웨터",9,10,
베네치아,"스웨터,따뜻한외투",11,3,
베네치아,"반팔,반바지",6,8,
오슬로,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
오슬로,"긴팔,스웨터",4,5,
오슬로,"긴팔,스웨터",9,10,
오슬로,"긴팔,바람막이 재킷",6,8,
리스본,"반팔,반바지",6,10,"여름에 심한 일교차, 긴팔, 긴바지 준비"
리스본,"긴팔,바람막이 재킷",11,5,"여름에 심한 일교차, 긴팔, 긴바지 준비"
브라티슬라바,"스웨터,두꺼운 외투",11,3,
브라티슬라바,"긴팔,스웨터",4,6,
브라티슬라바,"긴팔,스웨터",9,10,
브라티슬라바,"반팔,반바지",7,8,"심한 일교차, 긴팔 옷 필수"
암스테르담,"긴팔,스웨터",9,10,
암스테르담,"스웨터,따뜻한외투",11,2,
암스테르담,"스웨터,바람막이 재킷",3,5,
암스테르담,"반팔,반바지",6,8,
파리,"스웨터,두꺼운 외투",11,2,
파리,"스웨터,가벼운 외투",3,5,
파리,"스웨터,가벼운 외투",9,10,
파리,"반팔,반바지",6,8,야간의 센강 유람선에서 얇은 스웨터
코펜하겐,"스웨터,두꺼운 외투",11,3,"다설. 방한의류, 용품준비. 미끄럼주의"
코펜하겐,"반팔,반바지",7,8,
코펜하겐,"카디건,바람막이 재킷",5,6,
코펜하겐,"카디건,바람막이 재킷",9,10,
브뤼셀,"스웨터,따뜻한외투",11,3,"방풍, 방수 재킷 필요"
브뤼셀,"스웨터,바람막이 재킷",4,6,
브뤼셀,"반팔,반바지",7,8,
브뤼셀,"긴팔,바람막이 재킷",9,10,
스톡홀름,"스웨터,두꺼운 외투",12,3,
스톡홀름,"긴팔,따뜻한 외투",4,5,
스톡홀름,"긴팔,따뜻한 외투",10,11,
스톡홀름,"반팔,반바지",6,9,
부다페스트,"스웨터,두꺼운 외투",12,3,"방한의류, 용품으로 추위에 대비"
부다페스트,"긴팔,스웨터",3,5,
부다페스트,"긴팔,스웨터",10,11,
부다페스트,"반팔,반바지",6,9,
헬싱키,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
헬싱키,"스웨터,따뜻한외투",4,5,
헬싱키,"스웨터,따뜻한외투",9,10,
헬싱키,"긴팔,바람막이 재킷",6,8,
아테네,"긴팔,카디건",4,5,걷는 관광. 운동화 필수
아테네,"긴팔,따뜻한 외투",10,4,걷는 관광. 운동화 필수
아테네,"반팔,반바지",6,9,걷는 관광. 운동화 필수
마드리드,"긴팔,스웨터",4,5,"수도원, 성당 방문시 노출 자제"
마드리드,"긴팔,스웨터",10,11,"수도원, 성당 방문시 노출 자제"
마드리드,"스웨터,따뜻한외투",12,3,"수도원, 성당 방문시 노출 자제"
마드리드,"반팔,바람막이 재킷",6,9,"수도원, 성당 방문시 노출 자제"
바르셀로나,"긴팔,카디건",4,5,
바르셀로나,"긴팔,카디건",10,11,
바르셀로나,"스웨터,따뜻한외투",12,3,
바르셀로나,"반팔,반바지",6,9,
