나라명,구글위치정보,통화정보,나라수도,사용언어,국가번호,국가종교,치안상태,의료보험,빅맥지수,전력사용,TV_비디오,인터넷,팁,나라표준시차
요르단,"30.58516,36.23841",JOD,암만,아랍어,962,"이슬람 수니파 90%, 기독교 6%",양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 2~3구,PAL B/G,"초고속인터넷, 무선인터넷",팁 문화 없음,2
타이,"15.87003,100.99254",THB,방콕,타이어,66,"불교 94.6%, 이슬람교 4.6%, 기독교 0.7%, 기타 0.1%",양호,여행자보험 가입 시 적용,"2.59 달러 (세계 33위,  2012년 기준)",100V / 50Hz. 콘센트 2구,PAL B/M,"초고속인터넷, 무선인터넷","호텔, 레스토랑 등에서 20바트 정도",7
베트남,"14.05832,108.27720",VND,하노이,베트남어,84,"불교 12%, 가톨릭 7%.",양호,여행자보험 가입 시 적용,해당자료 없음,"220V / 50Hz, 콘센트 2~3구","NTSC M, SECAM D","초고속인터넷, 케이블 모뎀, 무선인터넷","레스토랑, 택시 이용금액의 5~10%, 호텔에서는 2달러 정도",7
몰디브,"1.97725,73.53610",USD,말레,몰디비안 디베히어,960,이슬람교,양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 3구,PAL B,"초고속인터넷, 무선인터넷","호텔, 리조트를 벗어난 곳에서는 팁 문화 없음",5
체코,"49.81749,15.47296",EUR,프라하,체코어,420,"가톨릭 39.2%, 개신교 4.1%, 무교 39.7%, 기타 17%",양호,여행자보험 가입 시 적용,"3.34 달러(세계 21위, 2012년 기준)","230V / 50㎐, 콘센트 2구","PAL B/G (케이블), PAL D/K (방송)","초고속인터넷, 전화모뎀, 무선인터넷",전체요금 10%,1
슬로바키아,"48.66903,19.69902",USD,브라티슬라바,슬로바키아어,421,"카톨릭 69%, 개신교 11%, 동방정교 4%",양호,여행자보험 가입 시 적용,해당자료 없음,230 V / 50 Hz. 콘센트 2구,"PAL B/G (케이블), PAL D/K (방송)","초고속인터넷, 무선인터넷",팁 문화 없음,1
벨기에,"50.50389,4.46994",EUR,브뤼셀,"네덜란드어, 프랑스어, 독일어",32,로마 가톨릭 75%,유의,여행자보험 가입 시 적용,"4.43 달러(세계 11위, 2012년 기준)",220V / 50㎐.플러그 방식이 달라 별도어댑터 필요,PAL B/H,"초고속인터넷, 무선인터넷",팁 문화 없음,1
멕시코,"23.63450,-102.55278",MXN,멕시코시티,에스파냐어,52,"가톨릭(89%), 기독교(6%)",매우 불안,여행자보험 가입 시 적용,"2.7 달러(세계 13위, 2012년 기준)","110V / 60Hz, 콘센트 2구",NTSC M,"초고속인터넷, 케이블모뎀, 전화모뎀, 무선인터넷",식당에서 일반적으로 계산서 금액의 10% 정도,-6
오스트리아,"47.51623,14.55007",EUR,빈,독일어,43,"로마가톨릭 74%, 개신교 4.6%, 이슬람 4.3%, 무교 12%, 기타 5%",양호,여행자보험 가입 시 적용,"4.68 달러(세계 21위, 2013년 기준)",220V / 50㎐. 콘센트 2구,PAL B/G,"초고속인터넷, 무선인터넷","레스토랑, 택시는 이용금액의 5~10%, 호텔에서는 1~2유로 정도",1
그리스,"39.07421,21.82431",EUR,아테네,그리스어,30,"그리스정교 98%, 이슬람교 1.3%, 기타 0.7%",양호,여행자보험 가입 시 적용,"4.34 달러(세계 11위, 2012년 기준)",220V / 50㎐. 콘센트 2구,PAL B/G,"초고속인터넷, 무선인터넷",계산서에 부가세가 포함되어 있으면 안 줘도 됨,2
몽골,"46.86250,103.84666",USD,울란바토르,몽골어,976,"라마불교 90%, 이슬람교 5%, 기독교 3.5%",비교적 양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 2구,PAL,"초고속인터넷, 케이블 모뎀",팁 문화 없음,8
오스트레일리아,"-25.27440,133.77514",AUD,캔버라,영어,61,"기독교 67%, 무종교 26%, 기타 7%",양호,여행자보험 가입 시 적용,"4.68 달러(세계 7위, 2012년 기준)","220V, 240V / 50㎐. 콘센트 3구",PAL B/G,"초고속인터넷, 무선인터넷",팁 문화 없음,10
필리핀,"12.87972,121.77402",PHP,마닐라,"영어, 타갈로그어",63,"가톨릭 83%, 개신교 9%, 이슬람교 5%, 기타 1%",불안,여행자보험 가입 시 적용,"2.80달러(세계 27위, 2012년 기준)",220V / 60Hz. 콘센트 2구,NTSC M,"초고속인터넷, 케이블모뎀, 무선인터넷","호텔, 레스토랑에서 서비스에 따라 10~20페소",8
타이완,"23.69781,120.96052",TWD,타이베이,"중국어(만다린), 타이완어",886,"불교, 유교, 도교 혼합 93%, 기독교 4.5%",양호,여행자보험 가입 시 적용,"2.48 달러(세계 35위, 2012년 기준)",110V / 60Hz. 콘센트 2~3구. 5성급 호텔에서는 220V 사용 가능,NTSC,"초고속인터넷, 무선인터넷",팁 문화 없음,8
우즈베키스탄,"41.37749,64.58526",USD,타슈켄트,"우즈베키스탄어, 러시아어",998,"이슬람교 88%(수니파 70%), 러시아 정교 9%, 기타 3%",양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 2~3구,SECAM D/K,"초고속인터넷, 무선인터넷",팁 문화 없음,5
네덜란드,"52.13263,5.29127",EUR,암스테르담,"네덜란드어, 영어, 프랑스어, 독일어",31,"가톨릭 31%, 네덜란드 개신교 14%, 캘빈파 7%, 기타 8%",양호,여행자보험 가입 시 적용,"4.68 달러(세계 20위, 2013년 기준)",230V / 50㎐. 콘센트 2구,PAL B/G,초고속인터넷,팁 문화 없음,1
헝가리,"47.16249,19.50330",HUF,헝가리,마자르어(헝가리어),36,"로마 가톨릭 54.5%, 개신교 19.5%, 그리스 정교",비교적양호,여행자보험 가입 시 적용,"3.48 달러(세계 20위, 2012년 기준)",230V / 50㎐. 콘센트 2구,PAL K/K,"초고속인터넷, 전화모뎀, 무선인터넷","레스토랑, 택시 이용금액의 10%, 호텔에서는 1달러",1
핀란드,"61.92411,25.74815",EUR,헬싱키,"핀란드어, 스웨덴어",358,"루터복음교 82.5%, 그리스정교 1.1%",양호,여행자보험 가입 시 적용,"5.09 달러(세계 11위, 2013년 기준)",220V / 50㎐. 콘센트 콘센트 2구,PAL B/G,"초고속인터넷, 전화모뎀, 무선인터넷",호텔에서 1유로,2
캄보디아,"12.56568,104.99096",USD,프놈펜,크메르어,855,"소승불교 95%, 기타 5%",양호,여행자보험 가입 시 적용,,"220V / 50Hz, 콘센트 2구",PAL,"전화모뎀, 케이블모뎀",1~2달러의 팁 지불이 관례,7
카자흐스탄,"48.01957,66.92368",KZT,알타미,"카자흐어, 러시아어",7,"이슬람교 47%, 러시아정교 44%, 개신교 2%",비교적 양호,여행자보험 가입 시 적용,해당자료 없음,"110V, 220V 겸용 / 50Hz, 콘센트 2구",SECAM D/K,"초고속인터넷, 무선인터넷",팁 문화 없음,6
칠레,"-35.67515,-71.54297",USD,산티아고,에스파냐어,56,"로마 가톨릭 89%, 개신교 11%",보통,여행자보험 가입 시 적용,"4.16 달러 (세계 15위, 2012년 기준)","220V / 50㎐, 콘센트 2~3구",NTSC M,"초고속인터넷, 케이블 모뎀",일반적으로 총 금액의 10% 이내,-4
피지,"-17.71337,178.06503",USD,난디,"영어, 피지어, 힌두어, 로투만어",679,"기독교 64%, 힌두교 28%, 이슬람교 6%",다소불안정,여행자보험 가입 시 적용,"2.50 달러(세계 25위, 2006년 기준)",240V / 50HZ. 콘센트 3구,NTSC M,"전화모뎀, 무선인터넷",팁 문화 없음,12
남아프리카공화국,"-30.55948,22.93751",ZAR,프리토리아(행정수도),"영어, 아프리칸스 및 9개 흑인 부족어",27,"기독교 79.8%, 이슬람 1.5%, 힌두교 1.2%",여행 유의,여행자보험 가입 시 적용,"2.36 달러(세계 38위, 2012년 기준)",220V / 50Hz. 콘센트 3구,PAL  I,"전화모뎀, 케이블모뎀","레스토랑, 택시 요금의 10%, 호텔 서비스 5랜드",2
이탈리아,"41.87194,12.56738",EUR,로마,이탈리어어,39,"가톨릭 98%, 기타 2%",양호,여행자보험 가입 시 적용,해당자료 없음,230V / 50Hz. 콘센트 2구,PAL B/G,"초고속인터넷, 무선인터넷","호텔 2∼3유로, 레스토랑 5~10유로",1
스웨덴,"60.12816,18.64350",SEK,스톡홀름,스웨덴어,46,"루터교 87%, 기타 10%(가톨릭, 그리스정교, 이슬람교 등)",양호,여행자보험 가입 시 적용,"5.91 달러(세계 8위, 2012년 기준)",220V / 50㎐. 콘센트 2구,PAL B/G,"초고속인터넷, 전화모뎀, 무선인터넷","호텔, 레스토랑에서 10크로나",1
미국,"37.09024,-95.71289",USD,워싱턴,영어,1,"개신교,가톨릭,몰몬,유태교,불교,이슬람 ...",양호,여행자보험 가입 시 적용,"4.37 달러(세계 24위, 2013년 기준)","110V/ 60㎐, 콘센트 2구",NTSC M,"초고속 인터넷, 무선인터넷","레스토랑, 택시는 이용요금의 15~20%, 호텔이나 공항에선 가방 당 1달러",-5
모로코,"31.79170,-7.09262",USD,리바트,아랍어,212,"회교(수니파) 99%, 기독교 1%",비교적 양호,여행자보험 가입 시 적용,해당자료 없음,"110V, 220V / 50Hz. 콘센트 2구",SECAM B,"초고속인터넷, 케이블 모뎀, 무선인터넷","레스토랑 이용금액의 5~10%, 호텔 10디르함 정도",0
케냐,"-0.02356,37.90619",USD,나이로비,"스와힐리어, 영어",254,"기독교 78%, 이슬람 10%, 기타 12%",다소불안,여행자보험 가입 시 적용,해당자료 없음,220~240V / 50Hz. 콘센트 3구,PAL B/G,"전화모뎀, 무선인터넷",호텔에서 50~100실링 정도,3
영국,"55.37805,-3.43597",GBP,런던,영어,44,"성공회 50%, 로마가톨릭 11%, 개신교 및 기타 39%",양호,여행자보험 가입 시 적용,"4.16달러(세계 13위, 2012년 기준)",240V / 50㎐. 콘센트 3구,NTSC M,"초고속인터넷, 전화모뎀, 무선인터넷","레스토랑, 택시는 이용금액의 10%, 호텔 서비스는 1파운드",0
아랍에미리트,"23.42408,53.84782",AED,아부다비,아랍어,971,"이슬람교 수니파 84%, 시아파 16%",양호,여행자보험 가입 시 적용,"3.27달러(세계 39위, 2013년 기준)",220V / 50㎐. 콘센트 2~3구,PAL B/G,"초고속인터넷, 전화모뎀, 무선인터넷","공항, 호텔에서 가방 1개당 2달러",4
괌,"13.44430,144.79373",USD,하갓냐,"영어, 차모로어",1-671,가톨릭,양호,여행자보험 가입 시 적용,"4.33 달러(세계 11위, 2012년 기준)","120V / 60Hz, 콘센트 2~3구",NTSC,"전화모뎀, 초고속인터넷, 케이블모뎀, 무선인터넷",일반적으로 요금의 10%를 지급,10
홍콩,"22.39643,114.10950",HKD,빅토리아,"중국어(광둥어), 영어",852,무교가 많고 불교와 도교가 보편적이다. 기독교 11.7%.,양호,여행자보험 가입 시 적용,"2.13 달러(세계 42위, 2012년 기준)",220V / 50㎐. 콘센트 3구,PAL  I,"초고속인터넷, 무선인터넷",호텔에서 10~20홍콩달러,8
이스라엘,"31.04605,34.85161",ILS,예루살렘,"히브리어, 아랍어",972,"유대교(76.5%) 이슬람(15.9%), 기독교","여행자제(일부), 여행제한(일부).",여행자보험 가입 시 적용,"2.92달러(세계 26위, 2012년 기준)",220V / 50㎐. 콘센트 3구,PAL B/G,"초고속인터넷, 무선인터넷","레스토랑 이용금액의 10~12%, 호텔 1달러",2
북마리아나 제도 연방,"15.09790,145.67390",USD,사이판,"영어, 차모로어",1-670,카톨릭,양호,여행자보험 가입 시 적용,"4.37 달러(세계 24위, 2013년 기준)","115V, 230V / 60Hz. 콘센트 2~3구",NTSC M,"전화모뎀, 케이블모뎀",일반적으로 요금의 10%를 지급,10
인도네시아,"-0.78928,113.92133",IDR,자카르타,인도네시아어,62,"이슬람교 87%, 개신교 6%, 가톨릭 3%, 힌두교 2%, 불교 1%",양호,여행자보험 가입 시 적용,"2.86 달러(세계 47위, 2013년 기준)","220V / 50Hz, 콘센트 2구",PAL B,케이블모뎀,적절한 팁을 주는 것이 관례. 요금의 5~10% 정도,7
말레이시아,"4.21048,101.97577",MYR,쿠알라룸푸르,말레이어,60,"무슬림 60.4%, 불교 19.2%, 기독교 9.1%, 힌두 6.3%",양호,여행자보험 가입 시 적용,"2.33 달러(세계 39위, 2012년 기준)","240V / 51Hz, 콘센트 3구",PAL B,"초고속인터넷, 케이블 모뎀, 무선인터넷","호텔 2~3링깃, 스파 10링깃이 적당",8
네팔,"28.39486,84.12401",USD,카트만두,네팔어,977,"힌두교 87%, 불교 8%, 이슬람교 4%","카트만두 양호, 지방 불안",여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 2~3구,PAL B,"초고속 인터넷, 무선 인터넷",호텔 서비스에는 50~100루피,+5:45     
독일,"51.16569,10.45153",EUR,베를린,독일어,49,"개신교 34%, 카톨릭 34%, 이슬람교 3.7%",양호,여행자보험 가입 시 적용,"4.94 달러(세계 12위, 2013년 기준)",230V / 50Hz. 콘센트 2구,PAL B/G,"초고속인터넷, 케이블모뎀, 무선인터넷",특별 봉사에 대해서는 5%,1
스위스,"46.81819,8.22751",CHF,베른,"독일어, 프랑스어, 이탈라이어, 로망슈어",41,"가톨릭 38.8%, 개신교 30.9%, 이슬람 4.5%, 동방정교회 2%",매우양호,여행자보험 가입 시 적용,"7.62 달러(세계 4위, 2013년 기준)",230V / 50㎐. 콘센트 3구,"PAL B/G (독일 지역), SECAM L (프랑스 지역)","초고속인터넷, 케이블모뎀, 무선인터넷",팁 문화 없음,1
포르투갈,"39.39987,-8.22445",EUR,리스본,포르투갈어,351,가톨릭 90%,양호,여행자보험 가입 시 적용,"4.00 달러(세계 28위, 2013년 기준)","220V / 50Hz, 콘센트 2구",PAL B/G,"초고속인터넷, 전화모뎀, 무선인터넷","레스토랑, 택시 이용금액의 5~10%",0
덴마크,"56.26392,9.50179",DKK,코펜하겐,덴마크어,45,"덴마크 루터복음교 80%, 이슬람교, 가톨릭, 침례교, 유태교 등",양호,여행자보험 가입 시 적용,"5.18 달러(세계 9위, 2013년 기준)",220V / 50㎐. 콘센트 3구,PAL B/G,초고속인터넷,팁 문화 없음,1
스페인,"40.46367,-3.74922",EUR,마드리드,"스페인어, 카탈루냐어, 바스크어, 갈라시아어",34,"로마가톨릭 94%, 기타 6%",양호,여행자보험 가입 시 적용,"4.75 달러(세계 18위, 2013년 기준)",230V / 50㎐.,PAL B/G,"초고속인터넷, 전화모뎀, 케이블모뎀, 무선인터넷","레스토랑 이용금액의 5~10%, 호텔 1~2유로",1
중국,"35.86166,104.19540",CNY,베이징,중국어,86,"불교, 기독교, 천주교, 이슬람교, 도교 등","양호,  일부 지역  여행 자제",여행자보험 가입 시 적용,"2.45 달러 (세계 36위,  2012년 기준)","220V / 50Hz, 콘센트 2~3구",PAL D,"초고속인터넷, 무선인터넷",팁 문화 없음,8
